ZONA;ICDO;SEXE;ANY;N01;N02;N03;N04;N05;N06;N07;N08;N09;N10;N11;N12;N13;N14;N15;N16;N17;N18;N21
P4300;4;1;1985;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
P4300;4;1;1986;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
P4300;4;1;1987;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0
P4300;4;1;1988;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0
P4300;4;1;1989;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0
P4300;4;1;1990;0;0;0;0;0;0;0;0;0;0;1;1;0;0;2;0;0;0;0
P4300;4;1;1991;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
P4300;4;1;1992;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;0;0;0;0
P4300;4;1;1993;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0
P4300;4;1;1994;0;0;0;0;0;0;0;0;0;0;2;0;1;0;2;0;0;0;0
P4300;4;1;1995;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0
P4300;4;1;1996;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;3;0;0;0
P4300;4;1;1997;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
P4300;4;1;1998;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
P4300;4;1;1999;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0
P4300;4;1;2000;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;2;1;0
P4300;4;1;2001;0;0;0;0;0;0;0;0;0;1;0;0;1;2;0;0;1;0;0
P4300;4;1;2002;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0
P4300;4;1;2003;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;1;0
P4300;4;1;2004;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;3;0;2;0
P4300;4;1;2005;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;3;0;1;0
P4300;4;1;2006;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;2;1;0
P4300;4;1;2007;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;2;0
P4300;4;1;2008;0;0;0;0;0;0;1;0;1;0;0;2;0;0;0;0;1;2;0
P4300;4;1;2009;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;0
P4300;4;1;2010;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;2;0;0;0
P4300;4;1;2011;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;1;1;0
P4300;4;2;1980;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0
P4300;4;2;1981;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0
P4300;4;2;1982;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0
P4300;4;2;1984;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0
P4300;4;2;1985;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0
P4300;4;2;1986;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0
P4300;4;2;1987;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0
P4300;4;2;1988;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0
P4300;4;2;1990;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
P4300;4;2;1991;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
P4300;4;2;1992;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;1;0;0;0
P4300;4;2;1994;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;1;1;0
P4300;4;2;1995;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;1;0
P4300;4;2;1996;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
P4300;4;2;1997;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
P4300;4;2;1998;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0
P4300;4;2;1999;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0
P4300;4;2;2000;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0
P4300;4;2;2001;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0
P4300;4;2;2002;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;1;0
P4300;4;2;2003;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;1;0
P4300;4;2;2004;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
P4300;4;2;2005;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;1;0;1;0
P4300;4;2;2006;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0
P4300;4;2;2007;0;0;0;0;0;0;0;0;0;0;1;0;0;2;1;0;0;1;0
P4300;4;2;2008;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0
P4300;4;2;2009;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0
P4300;4;2;2010;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
P4300;4;2;2011;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0
P4300;5;1;1980;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
P4300;5;1;1981;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
P4300;5;1;1982;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0
P4300;5;1;1983;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;1;0;0;0
P4300;5;1;1984;0;0;0;0;0;0;0;0;0;2;1;1;0;1;0;0;0;0;0
P4300;5;1;1985;0;0;0;0;0;0;0;1;1;1;0;0;1;1;0;0;0;0;0
P4300;5;1;1986;0;0;0;0;0;0;0;0;0;1;0;2;0;0;1;1;1;0;0
P4300;5;1;1987;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0
P4300;5;1;1988;0;0;0;0;0;0;0;0;1;0;0;2;1;0;0;1;1;0;0
P4300;5;1;1989;0;0;0;0;0;0;0;1;0;1;2;0;1;2;0;1;0;0;0
P4300;5;1;1990;0;0;0;0;0;0;0;0;0;0;0;1;1;2;0;1;0;0;0
P4300;5;1;1991;0;0;0;0;0;0;0;0;3;1;0;1;0;1;1;0;0;0;0
P4300;5;1;1992;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0
P4300;5;1;1993;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0
P4300;5;1;1994;0;0;0;0;0;0;0;0;0;0;2;0;1;1;1;0;0;0;0
P4300;5;1;1995;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0
P4300;5;1;1996;0;0;0;0;0;0;0;0;0;2;1;2;1;0;0;1;0;0;0
P4300;5;1;1997;0;0;0;0;0;0;0;1;0;0;0;2;0;1;2;1;0;0;0
P4300;5;1;1998;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;1;0;0;0
P4300;5;1;1999;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0
P4300;5;1;2000;0;0;0;0;0;0;0;2;1;1;1;1;2;0;0;1;0;0;0
P4300;5;1;2001;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0
P4300;5;1;2002;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0;0;0;0;0
P4300;5;1;2003;0;0;0;0;0;0;0;0;0;0;3;0;0;1;0;1;2;0;0
P4300;5;1;2004;0;0;0;0;0;0;0;0;1;0;2;1;2;0;1;0;0;0;0
P4300;5;1;2005;0;0;0;0;0;0;0;0;0;1;1;0;2;1;0;0;1;0;0
P4300;5;1;2006;0;0;0;0;0;0;0;0;2;1;4;0;3;0;1;0;0;0;0
P4300;5;1;2007;0;0;0;0;0;0;0;1;0;0;1;2;1;3;1;2;0;0;0
P4300;5;1;2008;0;0;0;0;0;0;0;0;1;0;3;1;1;3;1;2;0;0;0
P4300;5;1;2009;0;0;0;0;0;0;0;0;0;1;2;3;1;2;0;1;0;0;0
P4300;5;1;2010;0;0;0;0;0;0;0;0;1;0;1;2;1;0;1;0;1;0;0
P4300;5;1;2011;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;0;0;0
P4300;5;2;1986;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0
P4300;5;2;1987;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;1;0
P4300;5;2;1990;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
P4300;5;2;1993;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
P4300;5;2;1995;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
P4300;5;2;1998;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
P4300;5;2;1999;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
P4300;5;2;2000;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
