ZONA;SEXE;ANY;MES;P01;P02;P03;P04;P05;P06;P07;P08;P09;P10;P11;P12;P13;P14;P15;P16;P17;P18
43150;0;1987;J;83,01355661;113,0781412;128,0005358;103,7898986;104,8262577;99,18170716;99,42057706;107,6966809;114,5922489;82,33866224;98,0395765;121,0865925;136,204948;145,3459953;110,1125669;80,58127851;50,76016198;39,99145566
43150;0;1988;J;81,36721118;104,8479014;129,6894542;108,3209496;101,4995233;99,95130996;99,24398861;105,4644707;117,7980238;86,78119049;95,02005859;113,1200876;133,2221011;146,9232043;114,9346901;80,76540454;53,10622785;42,44258259
43150;0;1989;J;80,14195508;96,9885662;130,1818505;113,8054384;96,9549923;101,8226361;97,08254125;104,4986635;119,1726725;97,59967896;87,42106485;104,6051614;131,0272566;147,1487962;119,453022;82,73813483;55,24803765;41,57187573
43150;0;1990;J;77,63735971;91,93381497;126,5417306;121,5761878;91,8033264;106,1749462;92,77976239;106,0852585;115,9518378;105,585009;83,48208274;97,8880466;127,5447603;144,8291633;125,4698102;84,24221398;56,18527291;41,31809038
43150;0;1991;J;74,77559752;88,07806842;118,9759459;126,4605855;91,27832189;108,9224805;91,70394419;104,7344355;111,1664928;109,1862064;82,45110597;93,91116695;123,2617462;139,0833649;134,7142613;86,36942312;57,30543115;40,55148684
43150;0;1992;J;72,67700849;81,87312473;111,9955911;124,8844227;96,52998874;107,2417762;97,58870527;101,8052656;107,1886377;112,7687172;79,7104382;94,04127064;117,614731;135,1745063;136,3411356;91,37691591;60,23631677;41,8548698
43150;0;1993;J;71,03801157;76,88399594;103,284353;125,6340008;101,7605453;104,4047934;102,6740826;100,0043903;102,807492;115,5114258;82,66156685;91,69456741;110,088116;133,583043;136,6811473;96,80227516;62,45869645;45,14423413
43150;0;1994;J;69,53964878;73,9550682;93,19520429;125,603827;107,6900574;100,5859131;107,4996498;96,55662373;99,40400515;116,7625884;92,04922833;83,8621994;102,6989824;132,7421777;134,6177317;102,7746305;64,98470684;47,34833424
43150;0;1995;J;71,04389402;70,08401296;85,46169847;121,7580002;114,8200415;96,07618058;112,9049237;92,40340924;98,47875237;113,4543294;97,99612812;79,50736494;96,66636473;130,3290371;129,9602444;110,753619;66,05720105;47,62351591
43150;0;1996;J;71,91168205;67,44336863;80,79645093;115,4098905;122,3983735;94,51071629;117,4563003;90,18865516;96,91018603;109,2696438;100,8605516;79,58904362;92,55240344;126,2230371;123,7119041;122,9692425;67,55132909;47,94610954
43150;0;1997;J;71,48392231;69,76305178;78,6660832;110,6084297;123,8814512;100,371582;115,5487852;97,59144369;98,69214876;104,702875;107,4559119;79,22226534;95,28751239;119,5437371;121,1177469;124,9075248;71,80620106;51,53027209
43150;0;1998;J;71,83779089;70,64138412;76,49472847;104,1363798;126,891233;105,3423732;112,7535218;102,649247;102,8823765;99,44956412;113,5363635;84,63375413;93,85739582;110,5483187;120,0872332;124,7226953;75,44231205;55,12899011
43150;0;1999;J;71,3540833;71,14675727;75,39824946;96,77443797;129,5174514;108,7735748;108,277521;107,0374146;106,1998361;94,10952163;117,7124165;96,20922073;87,20595143;102,6834974;119,7815309;123,2181264;80,55164683;58,52380779
43150;0;2000;J;71,06457118;75,09910504;73,66706447;90,36310771;128,3482913;114,4459832;104,8579893;112,404789;108,6297195;92,25539034;117,0737099;104,5284797;84,44286755;96,06354481;118,0034001;120,4243319;87,33369635;61,82523616
43150;0;2001;J;74,26601935;80,23333185;73,14712013;86,42145526;125,2309052;125,6584826;103,6138468;118,3696672;111,0197965;88,72049492;116,9051299;109,5360451;85,24515983;91,11607779;115,8104354;115,0380508;98,92558134;63,35792302
43150;0;2002;J;70,46949874;80,951062;74,58818063;84,23022071;119,6309427;129,3748735;102,7618668;119,805191;112,5526601;91,14604147;113,7290619;112,9753924;85,46076994;93,55059314;112,1929568;107,8212733;102,5319682;67,87019868
43150;0;2003;J;61,10135395;79,3061542;76,24303749;83,48360161;110,2961277;127,4253866;102,2932441;118,9284227;112,1006241;98,92482471;105,5864617;114,7157251;91,48805798;95,60582365;106,7798283;102,9321481;98,99144775;72,92864121
43150;0;2004;J;51,73880776;76,12736491;76,97867563;84,57634147;101,3278281;130,2286352;107,719284;107,5508187;115,178955;104,6296015;96,78519306;117,7477696;103,8975202;92,20540986;99,54872408;101,2027484;94,65546782;77,70052721
